State,Area (sqmi),POP2010,POP2011,POP2012,POP2013,POP2014,POP2015,POP2016,POP2017,POP2018,PPA2010,PPA2011,PPA2012,PPA2013,PPA2014,PPA2015,PPA2016,PPA2017,PPA2018
ND,"68,994",674715,685225,701176,722036,737401,754066,754434,754942,758080,1.182380866,1.200798751,1.228751527,1.265306909,1.29223277,1.32143677,1.322081659,1.322971886,1.328470965
NE,"76,878",1829542,1840672,1853303,1865279,1879321,1891277,1905616,1915947,1925614,3.206117331,3.225621713,3.24775647,3.268743396,3.293350811,3.314302688,3.33943057,3.357534772,3.374475371
NH,"8,969",1316762,1320202,1324232,1326622,1333341,1336350,1342307,1348787,1353465,2.307513831,2.313542139,2.320604373,2.324792645,2.336567124,2.341840141,2.352279279,2.36363493,2.371832728
NJ,"7,419",8799446,8828117,8844942,8856972,8864525,8867949,8870827,8885525,8886025,15.42028351,15.470527,15.50001139,15.52109295,15.53432894,15.54032921,15.54537266,15.57112966,15.57200587
NM,"121,365",2064552,2080450,2087309,2092273,2089568,2089291,2091630,2091784,2092741,3.617952443,3.645812341,3.657832157,3.666531147,3.661790863,3.661305444,3.665404344,3.665674215,3.667351277
NV,"109,806",2702405,2712730,2743996,2775970,2817628,2866939,2917563,2969905,3027341,4.735735778,4.753829465,4.808620481,4.864652207,4.937654322,5.024067671,5.112781942,5.204506862,5.305158585
NY,"47,224",19399878,19499241,19572932,19624447,19651049,19654666,19633428,19589572,19530351,33.99664237,34.17076761,34.29990484,34.39018052,34.43679827,34.44313675,34.40591896,34.32906503,34.22528525
OH,"40,953",11539336,11544663,11548923,11576684,11602700,11617527,11634370,11659650,11676341,20.22170857,20.23104369,20.23850897,20.28715778,20.33274861,20.35873167,20.3882476,20.43254866,20.46179822
OK,"68,679",3759944,3788379,3818814,3853214,3878187,3909500,3926331,3931316,3940235,6.588983266,6.638813194,6.692147953,6.752431038,6.796194105,6.851067484,6.880562385,6.889298175,6.904927967
OR,"96,003",3837491,3872036,3899001,3922468,3963244,4015792,4089976,4143625,4181886,6.724877813,6.785414998,6.832668876,6.873792805,6.94524929,7.037335207,7.167336381,7.261351708,7.328400868
PA,"44,820",12711160,12745815,12767118,12776309,12788313,12784826,12782275,12787641,12800922,22.27523084,22.33596079,22.37329249,22.38939894,22.41043493,22.40432426,22.39985385,22.40925731,22.43253114
RI,"1,034",1053959,1053649,1054621,1055081,1055936,1056065,1056770,1055673,1058287,1.846973842,1.846430593,1.848133941,1.848940052,1.850438367,1.850664428,1.851899881,1.849977481,1.854558295
SC,"30,111",4635649,4671994,4717354,4764080,4823617,4891938,4957968,5021268,5084156,8.123582077,8.18727361,8.266763166,8.348646522,8.45298007,8.572706833,8.688418813,8.7993467,8.909552591
SD,"75,898",816166,823579,833566,842316,849129,853988,862996,872868,878698,1.430261758,1.443252413,1.460753784,1.476087417,1.488026623,1.496541608,1.512327365,1.529627209,1.53984379
TN,"41,220",6355311,6399291,6453898,6494340,6541223,6591170,6646010,6708799,6771631,11.13714402,11.21421524,11.30990938,11.38078056,11.46293905,11.55046693,11.64656938,11.75660179,11.86670954
TX,"261,914",25241971,25645629,26084481,26480266,26964333,27470056,27914410,28295273,28628666,44.23441533,44.94179177,45.71084272,46.4044224,47.2527088,48.1389455,48.91763823,49.58506837,50.16931135
UT,"82,168",2775332,2814384,2853375,2897640,2936879,2981835,3041868,3101042,3153550,4.863534166,4.931969487,5.000297911,5.077868572,5.146631595,5.225413176,5.330615921,5.434313342,5.526329163
VA,"39,598",8023699,8101155,8185080,8252427,8310993,8361808,8410106,8463587,8501286,14.06085262,14.1965877,14.34365915,14.46167906,14.56431101,14.65335999,14.73799815,14.83171907,14.89778337
VT,"9,249",625879,627049,626090,626210,625214,625216,623657,624344,624358,1.096799914,1.09885024,1.097169674,1.097379964,1.095634558,1.095638063,1.092906048,1.094109957,1.094134491
WA,"66,582",6742830,6826627,6897058,6963985,7054655,7163657,7294771,7423362,7523869,11.81623823,11.96308537,12.08650973,12.20379363,12.36268512,12.55370189,12.78346806,13.0088129,13.1849429
WI,"54,314",5690475,5705288,5719960,5736754,5751525,5760940,5772628,5790186,5807406,9.972075263,9.99803379,10.02374523,10.05317529,10.07906021,10.0955592,10.11604143,10.14681034,10.17698693
WV,"24,087",1854239,1856301,1856872,1853914,1849489,1842050,1831023,1817004,1804291,3.249396731,3.253010211,3.25401084,3.248827196,3.241072759,3.228036541,3.208712658,3.184145549,3.161867093
WY,"97,105",564487,567299,576305,582122,582531,585613,584215,578931,577601,0.989215636,0.994143428,1.00992568,1.02011948,1.020836218,1.026237161,1.023787285,1.014527523,1.01219681
